# episode|title|primary HLS URL|fallback HLS URL
01|悬案 第01集|https://v.lzcdn27.com/20260703/12487_4a144185/index.m3u8|https://v.tbnioca.cn:55/20260703/okd4l18o/index.m3u8
02|悬案 第02集|https://v.lzcdn27.com/20260703/12489_cb17757f/index.m3u8|https://v.tbnioca.cn:55/20260703/3qm5nzip/index.m3u8
03|悬案 第03集|https://v.lzcdn27.com/20260703/12493_5f3dbb62/index.m3u8|https://v.tbnioca.cn:55/20260703/5nwd9fir/index.m3u8
04|悬案 第04集|https://v.lzcdn27.com/20260704/12629_c38a13c9/index.m3u8|https://v.tbnioca.cn:55/20260704/cK9E5rfy/index.m3u8
05|悬案 第05集|https://v.lzcdn27.com/20260705/12708_3014cb3b/index.m3u8|https://v.tbnioca.cn:55/20260705/jSIRszoH/index.m3u8
06|悬案 第06集|https://v.lzcdn27.com/20260706/12775_41b44b8a/index.m3u8|https://v.tbnioca.cn:55/20260706/ZSnQSK5J/index.m3u8
07|悬案 第07集|https://v.lzcdn27.com/20260707/12828_35ad8346/index.m3u8|https://v.tbnioca.cn:55/20260707/WHwRRAc5/index.m3u8
08|悬案 第08集|https://v.lzcdn27.com/20260708/12900_6bcc7fe5/index.m3u8|https://v.tbnioca.cn:55/20260708/TLzqzaM5/index.m3u8
09|悬案 第09集|https://v.lzcdn27.com/20260709/13004_617d1777/index.m3u8|https://v.tbnioca.cn:55/20260709/F59UBNeJ/index.m3u8
10|悬案 第10集|https://v.lzcdn27.com/20260722/13830_8ef56874/index.m3u8|https://v.tbnioca.cn:55/20260722/h1v6mTz8/index.m3u8
11|悬案 第11集|https://v.lzcdn27.com/20260722/13829_3c24d04d/index.m3u8|https://v.tbnioca.cn:55/20260722/jVpW3Rsu/index.m3u8
12|悬案 第12集|https://v.lzcdn27.com/20260722/13831_b6b39f7c/index.m3u8|https://v.tbnioca.cn:55/20260722/ic5OksBH/index.m3u8
13|悬案 第13集|https://v.lzcdn27.com/20260723/13900_06e202a6/index.m3u8|https://v.tbnioca.cn:55/20260723/KNFY7Zpa/index.m3u8
14|悬案 第14集|https://v.lzcdn27.com/20260724/13952_9a444eee/index.m3u8|https://v.tbnioca.cn:55/20260724/zxiAy46c/index.m3u8
15|悬案 第15集|https://v.lzcdn27.com/20260725/14014_2c021acd/index.m3u8|https://v.tbnioca.cn:55/20260725/hYQtzdsR/index.m3u8
16|悬案 第16集|https://v.lfthirtytwo.com/20260725/8946_1578b82d/index.m3u8|https://v.tbnioca.cn:55/20260725/CkU4eqyW/index.m3u8
17|悬案 第17集|https://v.lfthirtytwo.com/20260725/8945_afc786af/index.m3u8|https://v.tbnioca.cn:55/20260725/vWx2tgTG/index.m3u8
